,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
1069,Shrinath® Travel Agency Pvt. Ltd.,A/C Seater / Sleeper (2+1),19:05,21:05,02h 00m,INR 1100,40 Seats available,3.4,https://www.redbus.in/bus-tickets/kishangarh-to-jaipur,Kishangarh to Jaipur (Rajasthan)
1070,Jain travels regd,NON AC Seater / Sleeper 2+1,19:25,21:25,02h 00m,INR 1000,34 Seats available,3.9,https://www.redbus.in/bus-tickets/kishangarh-to-jaipur,Kishangarh to Jaipur (Rajasthan)
1071,Jain travels regd,NON AC Seater / Sleeper 2+1,12:30,17:20,04h 50m,INR 350,37 Seats available,4.1,https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1072,CHANDRA RAJ TRAVELS,NON A/C Sleeper (2+1),13:39,19:09,05h 30m,INR 500,36 Seats available,3.3,https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1073,Pooja Paraswnath Travels,NON A/C Sleeper (2+1),14:20,19:35,05h 15m,INR 400,30 Seats available,3.9,https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1074,Jain travels regd,A/C Seater / Sleeper (2+1),15:20,20:00,04h 40m,INR 460,30 Seats available,"4.4
9",https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1075,Jain travels regd,NON AC Seater / Sleeper 2+1,16:30,22:45,06h 15m,INR 350,42 Seats available,4.1,https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1076,Ashok Travels Mandsaur Group,Non A/C Seater / Sleeper (2+1),17:30,23:00,05h 30m,INR 400,31 Seats available,3.7,https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1077,M R Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),17:40,21:00,03h 20m,INR 475,44 Seats available,"4.3
31",https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1078,Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),18:10,21:40,03h 30m,INR 550,24 Seats available,"4.2
9",https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1079,Raj travels,Bharat Benz NON A/C Seater (2+1),18:35,22:05,03h 30m,INR 460,21 Seats available,4.4,https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1080,Raj Travel (Laxmi Traveller),Bharat Benz A/C Seater (2+1),18:40,22:40,04h 00m,INR 470,21 Seats available,4.3,https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1081,Hans Travels (I) Private Limited,A/C Sleeper (2+1),18:45,23:15,04h 30m,INR 400,22 Seats available,3.2,https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1082,M R Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),18:45,22:45,04h 00m,INR 650,38 Seats available,"4.8
11",https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1083,Jain travels regd,A/C Seater / Sleeper (2+1),19:00,23:35,04h 35m,INR 400,40 Seats available,"4.4
6",https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1084,Ashok Travels,Non A/C Seater / Sleeper (2+1),21:30,02:30,05h 00m,350,34 Seats available,2.9,https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1085,Gajraj Travels,NON A/C Seater/ Sleeper (2+1),20:45,01:15,04h 30m,INR 400,40 Seats available,4.4,https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
1086,RSRTC - 183203,Express Non AC Seater 2+3,13:30,18:15,04h 45m,INR 212,42 Seats available,4.2,https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1087,RSRTC - 183141,Express Non AC Seater 2+3,14:35,19:20,04h 45m,INR 212,42 Seats available,4.2,https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1088,RSRTC - 157454,Super Luxury Volvo AC Seater Pushback 2+2,16:00,19:30,03h 30m,INR 438,4 Seats available,"4.4
69",https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1089,RSRTC - 193271,Express Non AC Seater 2+3,19:30,00:15,04h 45m,INR 212,42 Seats available,4.2,https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1090,RSRTC - 189622,Express Non AC Seater 2+3,22:00,02:25,04h 25m,INR 212,42 Seats available,4.2,https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1091,Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),12:50,16:25,03h 35m,INR 550,5 Seats available,"4.7
10",https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1092,Jain travels regd,A/C Seater / Sleeper (2+1),13:45,18:25,04h 40m,INR 450,35 Seats available,"4.4
5",https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1093,Jain travels regd,NON AC Seater / Sleeper 2+1,16:00,20:40,04h 40m,INR 300,35 Seats available,"4.1
12",https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1094,Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),17:00,20:35,03h 35m,INR 550,15 Seats available,"4.8
10",https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1095,M R Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),17:10,21:00,03h 50m,INR 600,43 Seats available,"4.8
13",https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1096,Jain travels regd,A/C Seater / Sleeper (2+1),17:30,21:50,04h 20m,INR 500,40 Seats available,4.1,https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1097,Raj Travel,Bharat Benz A/C Seater (2+1),17:30,21:00,03h 30m,INR 460,23 Seats available,4.3,https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1098,Rishabh Travels Milan,A/C Seater / Sleeper (2+1),21:00,00:25,03h 25m,INR 667,38 Seats available,"3.0
4",https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1099,Jain travels regd,A/C Seater / Sleeper (2+1),21:30,02:55,05h 25m,INR 460,34 Seats available,4.1,https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1100,Jakhar Travels,A/C Seater / Sleeper (2+1),22:00,02:45,04h 45m,INR 457,37 Seats available,3.7,https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
1101,RSRTC - 188888,Express Non AC Seater 2+3,13:00,17:35,04h 35m,INR 250,31 Seats available,4.2,https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1102,RSRTC - 148713,Express Non AC Seater 2+3,14:15,18:45,04h 30m,INR 250,42 Seats available,4.2,https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1103,RSRTC - 192421,Express Non AC Seater 2+3,14:50,19:15,04h 25m,INR 250,42 Seats available,4.2,https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1104,RSRTC - 193700,Express Non AC Seater 2+3,16:15,20:45,04h 30m,INR 250,42 Seats available,4.2,https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1105,RSRTC - 189225,Super Luxury Volvo AC Seater Pushback 2+2,19:10,23:00,03h 50m,INR 421,37 Seats available,"4.2
25",https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1106,Shree karni Travels,A/C Seater / Sleeper (2+1),14:15,19:25,05h 10m,INR 381,42 Seats available,3.3,https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1107,Milan Travels,A/C Seater / Sleeper (2+1),15:20,18:30,03h 10m,INR 523,19 Seats available,"3.3
16",https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1108,RATHORE TRAVELS AGENCY,A/C Semi Sleeper (2+2),15:40,20:10,04h 30m,INR 476.19,29 Seats available,4.3,https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1109,New Deep Travels,Volvo Multi-Axle I-Shift A/C Semi Sleeper (2+2),16:00,19:20,03h 20m,INR 666.67,43 Seats available,"3.2
16",https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1110,Milan Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),16:20,20:15,03h 55m,INR 714,39 Seats available,"4.1
16",https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1111,Milan Travels,A/C Seater / Sleeper (2+1),17:20,20:45,03h 25m,INR 523,28 Seats available,"4.8
21",https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1112,Milan Travels,A/C Seater / Sleeper (2+1),19:01,22:30,03h 29m,INR 523,39 Seats available,"4.3
12",https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1113,RATHORE TRAVELS AGENCY,A/C Seater / Sleeper (2+1),19:20,22:40,03h 20m,INR 450,35 Seats available,"4.4
27",https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1114,Milan Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:10,23:25,03h 15m,INR 523,30 Seats available,"4.5
13",https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1115,AMBIKA TRAVELS AND CARGO,NON AC Seater / Sleeper 2+1,21:05,02:25,05h 20m,INR 600,36 Seats available,4.6,https://www.redbus.in/bus-tickets/sikar-to-bikaner,Sikar to Bikaner
1116,RSRTC - 184103,Express Non AC Seater 2+3,13:10,18:10,05h 00m,INR 269,42 Seats available,"2.1
5",https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1117,RSRTC - 190552,Express Non AC Seater 2+3,15:30,20:25,04h 55m,INR 270,39 Seats available,"2.3
10",https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1118,RSRTC - 193797,NON AC Seater / Sleeper 2+1,22:01,02:55,04h 54m,INR 351,22 Seats available,3.6,https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1119,RSRTC - 183063,Express Non AC Seater 2+3,22:20,03:20,05h 00m,INR 270,42 Seats available,"3.3
10",https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1120,RSRTC - 189082,Super Luxury Volvo AC Seater Pushback 2+2,23:00,04:00,05h 00m,INR 438,14 Seats available,"3.8
60",https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1121,UPSRTC - KSN0275,Ordinary Non AC Seater 2+3,21:20,02:30,05h 10m,INR 263,52 Seats available,3.3,https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1122,Bhagwati Travel Agency,A/C Seater / Sleeper (2+1),22:15,03:15,05h 00m,474,18 Seats available,3.3,https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1123,Bhagwati Travel Agency,A/C Seater / Sleeper (2+1),22:50,05:05,06h 15m,569,21 Seats available,"3.7
5",https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1124,janta shatabdi travels,A/C Sleeper (2+1),14:30,20:30,06h 00m,647,12 Seats available,1.4,https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1125,GV Tours,A/C Seater/Sleeper (2+1),16:00,20:50,04h 50m,463,38 Seats available,"2.8
61",https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1126,Rinku Travels,NON AC Seater / Sleeper 2+1,19:00,00:59,05h 59m,INR 300,13 Seats available,2.5,https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1127,janta shatabdi travels,Non A/C Seater / Sleeper (2+1),19:15,23:59,04h 44m,416,41 Seats available,"1.0
10",https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1128,Haji Ali Travels,A/C Seater / Sleeper (2+1),19:30,02:00,06h 30m,450,37 Seats available,1.0,https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1129,Rinku Travels,NON AC Seater / Sleeper 2+1,20:00,01:50,05h 50m,INR 300,27 Seats available,2.5,https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1130,Mansoori tour and travels,NON A/C Sleeper (1+2),21:00,01:45,04h 45m,540,48 Seats available,1.8,https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
1131,RSRTC - 182921,Express Non AC Seater 2+3,13:10,19:19,06h 09m,INR 265,42 Seats available,3.5,https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1132,RSRTC - 194084,Deluxe AC Seater 2+2,13:25,19:00,05h 35m,INR 476,36 Seats available,3.5,https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1133,RSRTC - 154429,Express Non AC Seater 2+3,13:25,19:20,05h 55m,INR 265,42 Seats available,3.5,https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1134,RSRTC - 172729,Express Non AC Seater 2+3,13:40,19:28,05h 48m,INR 265,42 Seats available,"3.1
4",https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1135,RSRTC - 193793,Express Non AC Seater 2+3,15:30,22:30,07h 00m,INR 265,42 Seats available,3.5,https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1136,RSRTC - 191378,NON AC Seater / Sleeper 2+1,16:40,22:00,05h 20m,INR 347,33 Seats available,"4.1
7",https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1137,RSRTC - 192559,Express Non AC Seater 2+3,17:00,22:25,05h 25m,INR 265,46 Seats available,3.5,https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1138,RSRTC - 193794,Express Non AC Seater 2+3,18:00,00:00,06h 00m,INR 265,42 Seats available,3.5,https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1139,RSRTC - 192762,Express Non AC Seater 2+3,18:40,00:10,05h 30m,INR 265,46 Seats available,3.5,https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1140,RSRTC - 175208,Express Non AC Seater 2+3,23:00,04:00,05h 00m,INR 265,42 Seats available,"1.0
5",https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1141,Priya Bus Service,AC Seater (2+2),17:25,22:15,04h 50m,379,30 Seats available,"4.1
183",https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1142,Jakhar Travels,A/C Seater / Sleeper (2+1),22:00,03:30,05h 30m,INR 400,23 Seats available,"3.8
99",https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1143,Babu Travels,A/C Sleeper (2+1),18:30,23:42,05h 12m,INR 399,25 Seats available,"3.7
67",https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1144,Verma Travels.,A/C Sleeper (2+1),19:30,23:59,04h 29m,INR 399,23 Seats available,"4.0
49",https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1145,Jakhar Travels,A/C Seater / Sleeper (2+1),19:30,23:55,04h 25m,INR 400,26 Seats available,"3.8
40",https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,Jaipur (Rajasthan) to Kota(Rajasthan)
1146,SBSTC-DURGAPUR - KOLKATA - 13:00 (DGP DEPOT) - 226,Non AC Seater (2+3),13:00,16:30,03h 30m,INR 150,49 Seats available,"3.2
55",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1147,SBSTC-ASANSOL - KARUNAMOYEE - 12:20 (BEL DEPOT) - 214,Non AC Seater (2+3),13:30,17:30,04h 00m,INR 155,46 Seats available,"3.7
106",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1148,SBSTC-ASANSOL - KOLKATA - L/S - 12:35 (HOWRAH DEPOT) - 205,Non AC Seater (2+3),13:40,17:10,03h 30m,INR 150,49 Seats available,"3.3
24",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1149,SBSTC-BANKURA - KARUNAMOYEE - 12:00 (BNK DEPOT) - 857,Non AC Seater (2+3),13:50,17:50,04h 00m,INR 155,25 Seats available,"3.6
84",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1150,SBSTC-DURGAPUR - HABRA - VIA - DUNLOP - 14:05 (DGP DEPOT - 243,Non AC Seater (2+3),14:05,17:35,03h 30m,INR 155,48 Seats available,"3.7
17",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1151,SBSTC-ASANSOL - KOLKATA - 13:05 (ASANSOL DEPOT) - 141,Non AC Seater (2+3),14:15,17:45,03h 30m,INR 150,47 Seats available,"3.3
54",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1152,SBSTC-ASANSOL - KARUNAMOYEE - VOLVO - 13:25 (BEL DEPOT) - 3956,Volvo AC Seater (2+2),14:30,18:45,04h 15m,INR 360,46 Seats available,"3.6
14",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1153,SBSTC-BANKURA - KARUNAMOYEE - 13:00 (BNK DEPOT) - 240,Non AC Seater (2+3),14:55,18:55,04h 00m,INR 155,44 Seats available,"3.6
58",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1154,SBSTC-ASANSOL - KARUNAMOYEE - 13:55 (ASANSOL DEPOT) - 394,Non AC Seater (2+3),15:05,19:05,04h 00m,INR 155,36 Seats available,"2.9
87",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1155,SBSTC-DURGAPUR - KARUNAMOYEE - A/C - 15:10 (DGP DEPOT) - 1648,AC Seater (2+2),15:10,19:10,04h 00m,INR 300,23 Seats available,"3.0
148",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1156,SBSTC-ASANSOL - KOLKATA - 14:05 (HOWRAH DEPOT) - 748,Non AC Seater (2+3),15:15,18:45,03h 30m,INR 150,45 Seats available,"3.0
53",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1157,SBSTC-ASANSOL - KOLKATA - A/C - 14:20 (HWH DEPOT) - 1149,AC Seater (2+2),15:40,19:10,03h 30m,INR 300,35 Seats available,"3.4
57",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1158,SBSTC-ASANSOL - KOLKATA - 14:35 (HOWRAH DEPOT) - 208,Non AC Seater (2+3),15:45,19:15,03h 30m,INR 150,50 Seats available,"2.3
24",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1159,SBSTC-BANKURA - KARUNAMOYEE - 14:15 (BNK DEPOT) - 241,Non AC Seater (2+3),16:00,20:00,04h 00m,INR 155,39 Seats available,"3.4
65",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1160,SBSTC-ASANSOL - KOLKATA - 15:05 (HWH DEPOT) - 210,Non AC Seater (2+3),16:15,19:45,03h 30m,INR 150,51 Seats available,"3.1
44",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1161,SBSTC-ASANSOL - KOLKATA - VOLVO - 15:05 (BEL DEPOT) - 3291,Volvo AC Seater (2+2),16:15,20:25,04h 10m,INR 360,52 Seats available,3.5,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1162,SBSTC-ASANSOL - KARUNAMOYEE - 15:10 (BEL DEPOT) - 216,Non AC Seater (2+3),16:20,20:20,04h 00m,INR 155,42 Seats available,"3.5
127",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1163,SBSTC-ASANSOL - KOLKATA - 15:35 (HOWRAH DEPOT) - 211,Non AC Seater (2+3),16:45,20:15,03h 30m,INR 150,52 Seats available,"2.2
32",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1164,SBSTC-BANKURA - KARUNAMOYEE - A/C - 15:15 - 1500,AC Seater (2+2),17:00,21:00,04h 00m,INR 300,18 Seats available,"2.0
86",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1165,SBSTC-ASANSOL - KARUNAMOYEE - 16:10 (BEL DEPOT) - 217,Non AC Seater (2+3),17:25,21:25,04h 00m,INR 155,50 Seats available,"3.2
77",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1166,Greenline (Karunamoyee),Volvo A/C Seater (2+2),12:10,15:50,03h 40m,INR 486,20 Seats available,"4.5
201",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1167,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),12:30,16:30,04h 00m,INR 486,27 Seats available,"4.3
253",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1168,Greenline,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),12:30,16:20,03h 50m,INR 486,24 Seats available,4.2,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1169,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),12:55,16:45,03h 50m,INR 486,25 Seats available,"4.4
261",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1170,Greenline (Karunamoyee),Volvo A/C B11R Multi Axle Semi Sleeper (2+2),13:10,17:10,04h 00m,INR 486,20 Seats available,"4.4
163",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
1171,SBSTC-KARUNAMOYEE - BURDWAN - 13:00 (KALNA DEPOT) - 113,Non AC Seater (2+3),13:00,15:00,02h 00m,INR 100,50 Seats available,"3.0
31",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1172,SBSTC-KARUNAMOYEE - BURDWAN - 13:30 (BWN DEPOT) - 114,Non AC Seater (2+3),13:30,15:30,02h 00m,INR 100,46 Seats available,"3.6
33",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1173,SBSTC-KARUNAMOYEE - BURDWAN - 14:00 (BWN DEPOT) - 457,Non AC Seater (2+3),14:00,16:00,02h 00m,INR 100,31 Seats available,"3.9
80",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1174,SBSTC-KOLKATA - BURDWAN - 14:00 (BWN DEPOT) - 83,Non AC Seater (2+3),14:00,16:00,02h 00m,INR 95,45 Seats available,"3.7
28",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1175,SBSTC-KOLKATA - RAMPURHAT - VIA - TARAPITH - 14:00 - 2912,Non AC Seater (2+3),14:00,16:00,02h 00m,INR 95,46 Seats available,"2.8
9",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1176,SBSTC-KOLKATA - CHAKTA - 14:15 (KALNA DEPOT) - 1060,Non AC Seater (2+3),14:15,16:15,02h 00m,INR 95,51 Seats available,3.6,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1177,SBSTC-KOLKATA - KIRNAHAR - 14:35 (BWN DEPOT) - 1047,Non AC Seater (2+3),14:35,16:35,02h 00m,INR 95,48 Seats available,"3.2
10",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1178,SBSTC-KARUNAMOYEE - SURI - 14:45 (Suri Depot) - 645,Non AC Seater (2+3),14:45,16:45,02h 00m,INR 100,50 Seats available,"3.6
32",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1179,SBSTC-KARUNAMOYEE - BURDWAN - 15:00 (BWN DEPOT) - 707,Non AC Seater (2+3),15:00,17:00,02h 00m,INR 100,39 Seats available,"4.1
73",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1180,SBSTC-KOLKATA - RAMPURHAT - VIA - TARAPITH - 15:10 - 2494,Non AC Seater (2+3),15:10,17:10,02h 00m,INR 95,50 Seats available,"3.0
14",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1181,SBSTC-KOLKATA - LANGALHATA - 15:15 (BWN DEPOT) - 1849,Non AC Seater (2+3),15:15,17:15,02h 00m,INR 95,49 Seats available,"3.8
16",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1182,SBSTC-KARUNAMOYEE - BURDWAN - 15:30 (BWN DEPOT) - 116,Non AC Seater (2+3),15:30,17:30,02h 00m,INR 100,42 Seats available,"4.2
89",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1183,SBSTC-KARUNAMOYEE - BURDWAN - 16:00 (BWN DEPOT) - 117,Non AC Seater (2+3),16:00,18:00,02h 00m,INR 100,29 Seats available,"4.0
119",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1184,SBSTC-KOLKATA - KANDRA - 16:00 (BWN DEPOT) - 689,Non AC Seater (2+3),16:00,18:00,02h 00m,INR 95,45 Seats available,"4.3
12",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1185,SBSTC-KOLKATA - KANDI - VIA - FUTISANKO - 16:25 (BWN D - 3968,Non AC Seater (2+3),16:25,18:25,02h 00m,INR 95,52 Seats available,3.6,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1186,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),12:15,14:15,02h 00m,INR 429,22 Seats available,"4.0
23",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
1187,Greenline,Volvo A/C Seater (2+2),12:30,15:05,02h 35m,INR 429,35 Seats available,"4.6
6",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
